"nav","nav_date","scheme_id","fund_house","scheme_name","pay_out","type","category","sub_category"
"10.511","2018-01-31","141871","Sundaram Mutual Fund","Sundaram Select Micro Cap Series XVII Regular Plan - Growth","INF903JA1BF0","Close Ended Schemes "," Growth ",NULL
"10.5693","2018-01-31","141874","Sundaram Mutual Fund","Sundaram Select Micro Cap Series XVII Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1BI4","Close Ended Schemes "," Growth ",NULL
"10.5693","2018-01-31","141873","Sundaram Mutual Fund","Sundaram Select Micro Cap Series XVII Direct Plan - Growth","INF903JA1BH6","Close Ended Schemes "," Growth ",NULL
"11.0447","2018-01-31","141741","Sundaram Mutual Fund","Sundaram Select Micro Cap Series XVI Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1BC7","Close Ended Schemes "," Growth ",NULL
"11.0447","2018-01-31","141742","Sundaram Mutual Fund","Sundaram Select Micro Cap Series XVI Regular Plan - Growth","INF903JA1BB9","Close Ended Schemes "," Growth ",NULL
"11.079","2018-01-31","141743","Sundaram Mutual Fund","Sundaram Select Micro Cap Series XVI Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1BE3","Close Ended Schemes "," Growth ",NULL
"11.079","2018-01-31","141740","Sundaram Mutual Fund","Sundaram Select Micro Cap Series XVI Direct Plan - Growth","INF903JA1BD5","Close Ended Schemes "," Growth ",NULL
"11.6279","2018-01-31","141405","Sundaram Mutual Fund","Sundaram Select Micro Cap Series XV Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1AM8","Close Ended Schemes "," Growth ",NULL
"17.2402","2018-01-31","126409","Sundaram Mutual Fund","Sundaram Select Micro Cap Series II - Regular Plan - Dividend Option","INF903J01YZ4","Close Ended Schemes "," Growth ",NULL
"11.6279","2018-01-31","141406","Sundaram Mutual Fund","Sundaram Select Micro Cap Series XV Regular Plan - Growth","INF903JA1AL0","Close Ended Schemes "," Growth ",NULL
"11.7173","2018-01-31","141407","Sundaram Mutual Fund","Sundaram Select Micro Cap Series XV Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1AO4","Close Ended Schemes "," Growth ",NULL
"11.7173","2018-01-31","141404","Sundaram Mutual Fund","Sundaram Select Micro Cap Series XV Direct Plan - Growth","INF903JA1AN6","Close Ended Schemes "," Growth ",NULL
"11.9733","2018-01-31","141144","Sundaram Mutual Fund","Sundaram Select Micro Cap Series XIV Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1989","Close Ended Schemes "," Growth ",NULL
"11.9733","2018-01-31","141143","Sundaram Mutual Fund","Sundaram Select Micro Cap Series XIV Regular Plan - Growth","INF903JA1971","Close Ended Schemes "," Growth ",NULL
"12.0406","2018-01-31","141146","Sundaram Mutual Fund","Sundaram Select Micro Cap Series XIV Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1AA3","Close Ended Schemes "," Growth ",NULL
"12.0406","2018-01-31","141145","Sundaram Mutual Fund","Sundaram Select Micro Cap Series XIV Direct Plan - Growth","INF903JA1997","Close Ended Schemes "," Growth ",NULL
"12.9142","2018-01-31","140528","Sundaram Mutual Fund","SUNDARAM SELECT MICRO CAP SERIES XII - REGULAR PLAN - GROWTH","INF903JA1690","Close Ended Schemes "," Growth ",NULL
"12.9142","2018-01-31","140529","Sundaram Mutual Fund","SUNDARAM SELECT MICRO CAP SERIES XII - REGULAR PLAN - DIVIDEND","INF903JA1708","Close Ended Schemes "," Growth ",NULL
"13.0384","2018-01-31","140532","Sundaram Mutual Fund","SUNDARAM SELECT MICRO CAP SERIES XII - DIRECT PLAN GROWTH","INF903JA1716","Close Ended Schemes "," Growth ",NULL
"13.0384","2018-01-31","140531","Sundaram Mutual Fund","SUNDARAM SELECT MICRO CAP SERIES XII - DIRECT PLAN DIVIDEND","INF903JA1724","Close Ended Schemes "," Growth ",NULL
"13.4284","2018-01-31","140389","Sundaram Mutual Fund","SUNDARAM SELECT MICRO CAP SERIES XI - REGULAR PLAN - GROWTH","INF903JA1583","Close Ended Schemes "," Growth ",NULL
"13.4284","2018-01-31","140390","Sundaram Mutual Fund","SUNDARAM SELECT MICRO CAP SERIES XI - REGULAR PLAN - DIVIDEND","INF903JA1609","Close Ended Schemes "," Growth ",NULL
"13.5322","2018-01-31","140391","Sundaram Mutual Fund","SUNDARAM SELECT MICRO CAP SERIES XI - DIRECT PLAN - GROWTH","INF903JA1617","Close Ended Schemes "," Growth ",NULL
"13.5322","2018-01-31","140392","Sundaram Mutual Fund","SUNDARAM SELECT MICRO CAP SERIES XI - DIRECT PLAN - DIVIDEND","INF903JA1625","Close Ended Schemes "," Growth ",NULL
"16.9974","2018-01-31","135774","Sundaram Mutual Fund","SUNDARAM SELECT MICRO CAP SERIES X - REGULAR PLAN - GROWTH","INF903J019W2","Close Ended Schemes "," Growth ",NULL
"14.5426","2018-01-31","135773","Sundaram Mutual Fund","SUNDARAM SELECT MICRO CAP SERIES X - REGULAR PLAN - DIVIDEND PAYOUT","INF903J010X9","Close Ended Schemes "," Growth ",NULL
"17.2398","2018-01-31","135772","Sundaram Mutual Fund","SUNDARAM SELECT MICRO CAP SERIES X - DIRECT PLAN - GROWTH","INF903J011X7","Close Ended Schemes "," Growth ",NULL
"14.7667","2018-01-31","135771","Sundaram Mutual Fund","SUNDARAM SELECT MICRO CAP SERIES X - DIRECT PLAN - DIVIDEND PAYOUT","INF903J012X5","Close Ended Schemes "," Growth ",NULL
"14.7003","2018-01-31","135491","Sundaram Mutual Fund","Sundaram Select Micro Cap Series VIII Regular Plan Dividend","INF903J012V9","Close Ended Schemes "," Growth ",NULL
"14.9549","2018-01-31","135489","Sundaram Mutual Fund","Sundaram Select Micro Cap Series VIII Direct Plan Dividend","INF903J014V5","Close Ended Schemes "," Growth ",NULL
"17.1495","2018-01-31","135492","Sundaram Mutual Fund","Sundaram Select Micro Cap Series VIII  Regular Plan Growth","INF903J011V1","Close Ended Schemes "," Growth ",NULL
"17.4237","2018-01-31","135490","Sundaram Mutual Fund","Sundaram Select Micro Cap Series VIII  Direct Plan Growth","INF903J013V7","Close Ended Schemes "," Growth ",NULL
"20.1799","2018-01-31","131558","Sundaram Mutual Fund","Sundaram Select Micro Cap Series VII- Regular Plan Growth Option","INF903J01W67","Close Ended Schemes "," Growth ",NULL
"16.1079","2018-01-31","131557","Sundaram Mutual Fund","Sundaram Select Micro Cap Series VII- Direct Plan Dividend Option","INF903J01W91","Close Ended Schemes "," Growth ",NULL
"15.6848","2018-01-31","131556","Sundaram Mutual Fund","Sundaram Select Micro Cap Series VII - Regular Plan Dividend Option","INF903J01W75","Close Ended Schemes "," Growth ",NULL
"20.6113","2018-01-31","131555","Sundaram Mutual Fund","Sundaram Select Micro Cap Series VII - Direct Plan Growth Option","INF903J01W83","Close Ended Schemes "," Growth ",NULL
"20.492","2018-01-31","131332","Sundaram Mutual Fund","Sundaram Select Micro Cap Series VI Regular Growth","INF903J01U44","Close Ended Schemes "," Growth ",NULL
"15.9923","2018-01-31","131333","Sundaram Mutual Fund","Sundaram Select Micro Cap Series VI Regular Dividend Payout","INF903J01U51","Close Ended Schemes "," Growth ",NULL
"20.9842","2018-01-31","131334","Sundaram Mutual Fund","Sundaram Select Micro Cap Series VI Direct Growth","INF903J01U69","Close Ended Schemes "," Growth ",NULL
"16.4662","2018-01-31","131335","Sundaram Mutual Fund","Sundaram Select Micro Cap Series VI Direct Dividend Payout","INF903J01U77","Close Ended Schemes "," Growth ",NULL
"23.3041","2018-01-31","131005","Sundaram Mutual Fund","Sundaram Select Micro Cap Series V- Regular Plan Growth Option","INF903J01R07","Close Ended Schemes "," Growth ",NULL
"16.9263","2018-01-31","131002","Sundaram Mutual Fund","Sundaram Select Micro Cap Series V- Direct Plan Dividend Option","INF903J01R31","Close Ended Schemes "," Growth ",NULL
"16.3719","2018-01-31","131004","Sundaram Mutual Fund","Sundaram Select Micro Cap Series V - Regular Plan Dividend Option","INF903J01R15","Close Ended Schemes "," Growth ",NULL
"23.8963","2018-01-31","131003","Sundaram Mutual Fund","Sundaram Select Micro Cap Series V - Direct Plan Growth Option","INF903J01R23","Close Ended Schemes "," Growth ",NULL
"17.3779","2018-01-31","135567","Sundaram Mutual Fund","Sundaram Select Micro Cap Series IX-Direct Plan Growth","INF903J017V8","Close Ended Schemes "," Growth ",NULL
"17.1091","2018-01-31","135569","Sundaram Mutual Fund","Sundaram Select Micro Cap Series IX - Regular Plan - Growth","INF903J015V2","Close Ended Schemes "," Growth ",NULL
"14.6571","2018-01-31","135570","Sundaram Mutual Fund","Sundaram Select Micro Cap Series IX - Regular Plan - Dividend Payout","INF903J016V0","Close Ended Schemes "," Growth ",NULL
"14.9062","2018-01-31","135568","Sundaram Mutual Fund","Sundaram Select Micro Cap Series IX - Direct Plan - Dividend Payout","INF903J018V6","Close Ended Schemes "," Growth ",NULL
"34.0567","2018-01-31","127671","Sundaram Mutual Fund","Sundaram Select Micro Cap Series IV - Regular Plan - Growth Option","INF903J01ZY4","Close Ended Schemes "," Growth ",NULL
"15.0008","2018-01-31","127670","Sundaram Mutual Fund","Sundaram Select Micro Cap Series IV - Regular Plan - Dividend Option","INF903J01ZZ1","Close Ended Schemes "," Growth ",NULL
"35.0958","2018-01-31","127669","Sundaram Mutual Fund","Sundaram Select Micro Cap Series IV - Direct Plan - Growth Option","INF903J01A06","Close Ended Schemes "," Growth ",NULL
"15.759","2018-01-31","127668","Sundaram Mutual Fund","Sundaram Select Micro Cap Series IV - Direct Plan - Dividend Option","INF903J01A14","Close Ended Schemes "," Growth ",NULL
"37.7766","2018-01-31","126408","Sundaram Mutual Fund","Sundaram Select Micro Cap Series II - Direct Plan - Growth Option","INF903J01ZA4","Close Ended Schemes "," Growth ",NULL
"35.9063","2018-01-31","126846","Sundaram Mutual Fund","Sundaram Select Micro Cap Series III - Regular Plan - Growth Option","INF903J01ZU2","Close Ended Schemes "," Growth ",NULL
"16.8035","2018-01-31","126845","Sundaram Mutual Fund","Sundaram Select Micro Cap Series III - Regular Plan - Dividend Option","INF903J01ZV0","Close Ended Schemes "," Growth ",NULL
"37.0445","2018-01-31","126848","Sundaram Mutual Fund","Sundaram Select Micro Cap Series III - Direct Plan - Growth Option","INF903J01ZW8","Close Ended Schemes "," Growth ",NULL
"17.6573","2018-01-31","126847","Sundaram Mutual Fund","Sundaram Select Micro Cap Series III - Direct Plan - Dividend Option","INF903J01ZX6","Close Ended Schemes "," Growth ",NULL
"36.5676","2018-01-31","126410","Sundaram Mutual Fund","Sundaram Select Micro Cap Series II - Regular Plan - Growth Option","INF903J01YY7","Close Ended Schemes "," Growth ",NULL
"38.0219","2018-01-31","125778","Sundaram Mutual Fund","Sundaram Select Micro Cap Series I - Direct Plan - Growth Option","INF903J01YM2","Close Ended Schemes "," Growth ",NULL
"18.1432","2018-01-31","126407","Sundaram Mutual Fund","Sundaram Select Micro Cap Series II - Direct Plan - Dividend Option","INF903J01ZB2","Close Ended Schemes "," Growth ",NULL
"36.7207","2018-01-31","125775","Sundaram Mutual Fund","Sundaram Select Micro Cap Series I - Regular Plan - Growth Option","INF903J01YK6","Close Ended Schemes "," Growth ",NULL
"17.3602","2018-01-31","125776","Sundaram Mutual Fund","Sundaram Select Micro Cap Series I - Regular Plan - Dividend Option","INF903J01YL4","Close Ended Schemes "," Growth ",NULL
"18.3152","2018-01-31","125777","Sundaram Mutual Fund","Sundaram Select Micro Cap Series I - Direct Plan - Dividend Option","INF903J01YN0","Close Ended Schemes "," Growth ",NULL
"13.0876","2018-01-31","138986","PGIM India Mutual Fund","DHFL Pramerica Large Cap Fund - Series 1 - Direct Plan - Growth","INF223JA1AS8","Close Ended Schemes "," Growth ",NULL
"13.0876","2018-01-31","138985","PGIM India Mutual Fund","DHFL Pramerica Large Cap Fund - Series 1 - Direct Plan - Dividend (Payout)","INF223JA1AR0","Close Ended Schemes "," Growth ",NULL
"16.378","2018-01-31","131336","SBI Mutual Fund","SBI EQUITY OPPORTUNITIES FUND - SERIES I - REGULAR PLAN - GROWTH","INF200K014S8","Close Ended Schemes "," Growth ",NULL
"13.6717","2018-01-31","131337","SBI Mutual Fund","SBI EQUITY OPPORTUNITIES FUND - SERIES I - REGULAR PLAN - DIVIDEND","INF200K015S5","Close Ended Schemes "," Growth ",NULL
"16.5038","2018-01-31","131338","SBI Mutual Fund","SBI EQUITY OPPORTUNITIES FUND - SERIES I - DIRECT PLAN - GROWTH","INF200K016S3","Close Ended Schemes "," Growth ",NULL
"13.7689","2018-01-31","131339","SBI Mutual Fund","SBI EQUITY OPPORTUNITIES FUND - SERIES I - DIRECT PLAN - DIVIDEND","INF200K017S1","Close Ended Schemes "," Growth ",NULL
"12.3313","2018-01-31","138990","PGIM India Mutual Fund","PGIM India Large Cap Fund - Series 2 - Regular Plan - Growth","INF223JA1BH9","Close Ended Schemes "," Growth ",NULL
"12.3313","2018-01-31","138989","PGIM India Mutual Fund","PGIM India Large Cap Fund - Series 2 - Regular Plan - Dividend (Payout)","INF223JA1BG1","Close Ended Schemes "," Growth ",NULL
"12.9478","2018-01-31","138991","PGIM India Mutual Fund","PGIM India Large Cap Fund - Series 2 - Direct Plan - Growth","INF223JA1BJ5","Close Ended Schemes "," Growth ",NULL
"12.9476","2018-01-31","138992","PGIM India Mutual Fund","PGIM India Large Cap Fund - Series 2 - Direct Plan - Dividend (Payout)","INF223JA1BI7","Close Ended Schemes "," Growth ",NULL
